texte,domaine,priorite
quelqu'un a très mal au dos je suis en danger,MÉDICAL,Moyenne
mon casque ne s'allume pas,MATÉRIEL,Basse
un inconnu me frappe au visage.,POLICE,Haute
la forêt vient d'exploser!,POMPIER,Haute
ma femme a cassé mon bras,MÉDICAL,Moyenne
le réseau a fondu,INFRA,Haute
un individu a un fusil vite,POLICE,Haute
une central nucléaire vient d'exploser,POMPIER,Haute
le routeur affiche une erreur 500,INFRA,Haute
ma session me refuse l'accès,ACCÈS,Moyenne
un homme est entré par effraction vite,POLICE,Moyenne
l'imprimante fait un bruit bizarre,MATÉRIEL,Basse
un individu est entré par effraction,POLICE,Moyenne
le réseau a une latence énorme,INFRA,Haute
le réseau est en panne,INFRA,Haute
le vpn affiche une erreur,ACCÈS,Moyenne
il y a quelqu'un qui tire,POLICE,Haute
mon pc est mort,MATÉRIEL,Basse
un pont menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
mon compte est verrouillé,ACCÈS,Moyenne
quelqu'un me frappe au visage,POLICE,Haute
un inconnu m'a tiré dessus vite,POLICE,Haute
un homme me frappe au visage aidez-moi,POLICE,Haute
je très mal au ventre.,MÉDICAL,Moyenne
mon mot de passe est expiré,ACCÈS,Moyenne
l'hyperviseur ne répond plus,INFRA,Haute
je du sang partout!,MÉDICAL,Haute
le vidéoprojecteur a l'écran fissuré,MATÉRIEL,Basse
le serveur a fondu,INFRA,Haute
mon casque est cassé,MATÉRIEL,Basse
un batiment vient de tomber,POMPIER,Haute
des gens a un couteau!,POLICE,Haute
je me suis fais tirer dessus,POLICE,Haute
mon collègue a très mal au ventre.,MÉDICAL,Moyenne
mon login est bloqué,ACCÈS,Moyenne
la base de données a crashé,INFRA,Haute
un homme essaie de rentrer de force.,POLICE,Moyenne
mon clavier clignote sans arrêt,MATÉRIEL,Basse
un fou rode autour de la maison aidez-moi,POLICE,Moyenne
mon ami a très mal au dos vite,MÉDICAL,Moyenne
ma souris marche plus,MATÉRIEL,Basse
l'hyperviseur est très lent,INFRA,Haute
le toit menace de s'écrouler je suis en danger,POMPIER,Moyenne
mon pc est mort,MATÉRIEL,Basse
le vpn n'est pas reconnu,ACCÈS,Moyenne
quelqu'un a très mal au dos!,MÉDICAL,Moyenne
je très mal au dos vite,MÉDICAL,Moyenne
le toit a été soufflé par une explosion vite,POMPIER,Haute
ma souris d'ordinateur est morte,MATÉRIEL,Basse
mon collègue a du mal à respirer aidez-moi,MÉDICAL,Haute
mon collègue a du sang partout!,MÉDICAL,Haute
quelqu'un a avalé du poison,MÉDICAL,Haute
un entrepot menace de s'écrouler.,POMPIER,Moyenne
mon pc est bloqué,MATÉRIEL,Basse
mon login ne marche plus,ACCÈS,Moyenne
la webcam ne s'allume pas,MATÉRIEL,Basse
un entrepot fuit du gaz!,POMPIER,Haute
un tueur m'a tiré dessus.,POLICE,Haute
un batiment est rempli de fumée.,POMPIER,Haute
mon clavier a l'écran fissuré,MATÉRIEL,Basse
un tueur essaie de me tuer je suis en danger,POLICE,Haute
une centrale nucléaire est rempli de fumée,POMPIER,Haute
un tueur est entré par effraction aidez-moi,POLICE,Moyenne
un batiment menace de s'écrouler.,POMPIER,Moyenne
un tueur me suit dans la rue.,POLICE,Moyenne
un gars est entré par effraction ma vie est en danger,POLICE,Moyenne
ma souris est cassé,MATÉRIEL,Basse
quelqu'un a cassé mon bras vite,MÉDICAL,Moyenne
ma vie est en danger,POLICE,Haute
un gars m'a tiré dessus,POLICE,Haute
une centrale nucléaire est en train de s'écrouler,POMPIER,Moyenne
une voiture est rempli de fumée.,POMPIER,Haute
une central nucléaire vient d'exploser,POMPIER,Haute
le vpn affiche une erreur,ACCÈS,Moyenne
ma femme a perdu ma jambe vite,MÉDICAL,Haute
je cassé mon bras aidez-moi,MÉDICAL,Moyenne
un inconnu veut me poignarder aidez-moi,POLICE,Haute
ma femme a fait un malaise ma vie est en danger,MÉDICAL,Haute
un pont est en feu!,POMPIER,Haute
quelqu'un me menace avec une arme.,POLICE,Haute
je saigne du doigt,MÉDICAL,Basse
le wifi est très lent,INFRA,Haute
j'ai du sang,MÉDICAL,Moyenne
l'imprimante fait un bruit bizarre,MATÉRIEL,Basse
la base de données affiche une erreur 500,INFRA,Haute
un tueur braque la banque vite,POLICE,Haute
un batiment a été soufflé par une explosion je suis en danger,POMPIER,Haute
le parking est en feu vite,POMPIER,Haute
le réseau a crashé,INFRA,Haute
mon ami a perdu un oeil!,MÉDICAL,Haute
un voleur essaie de me tuer aidez-moi,POLICE,Haute
le vidéoprojecteur marche plus,MATÉRIEL,Basse
ma femme a très mal au ventre.,MÉDICAL,Moyenne
le toit menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
mon ami a très mal au dos ma vie est en danger,MÉDICAL,Moyenne
ma femme a une grosse hémorragie je suis en danger,MÉDICAL,Haute
mon collègue a très mal au dos.,MÉDICAL,Moyenne
il y a un braquage,POLICE,Haute
une usine s'est effondré ma vie est en danger,POMPIER,Haute
un voleur essaie de rentrer de force,POLICE,Moyenne
un individu essaie de rentrer de force aidez-moi,POLICE,Moyenne
une centrale nucléaire est rempli de fumée ma vie est en danger,POMPIER,Haute
un batiment vient de tomber,POMPIER,Haute
un entrepot est en train de s'écrouler.,POMPIER,Moyenne
mon compte tourne en boucle,ACCÈS,Moyenne
un batiment est en feu!,POMPIER,Haute
une usine menace de s'écrouler,POMPIER,Moyenne
quelqu'un a une grosse hémorragie je suis en danger,MÉDICAL,Haute
la webcam est cassé,MATÉRIEL,Basse
j'ai très mal au ventre.,MÉDICAL,Moyenne
le vidéoprojecteur marche plus,MATÉRIEL,Basse
un inconnu est entré par effraction!,POLICE,Moyenne
ma femme a très mal au ventre.,MÉDICAL,Moyenne
un pont brûle vite,POMPIER,Haute
un voleur a un fusil aidez-moi,POLICE,Haute
un gars rode autour de la maison vite,POLICE,Moyenne
quelqu'un a avalé du poison,MÉDICAL,Haute
mon compte me refuse l'accès,ACCÈS,Moyenne
une usine vient d'exploser vite,POMPIER,Haute
la base de données est en panne,INFRA,Haute
un immeuble est en train de s'écrouler aidez-moi,POMPIER,Moyenne
une voiture s'est effondré aidez-moi,POMPIER,Haute
j'ai cassé mon nez,MÉDICAL,Moyenne
le toit est en train de s'écrouler je suis en danger,POMPIER,Moyenne
un inconnu veut me poignarder vite,POLICE,Haute
un gars rode autour de la maison.,POLICE,Moyenne
mon pc est mort,MATÉRIEL,Basse
un pont est en feu je suis en danger,POMPIER,Haute
mon login est bloqué,ACCÈS,Moyenne
mon login ne marche plus,ACCÈS,Moyenne
une centrale nucléaire menace de s'écrouler!,POMPIER,Moyenne
le vidéoprojecteur a l'écran fissuré,MATÉRIEL,Basse
ma souris est cassé,MATÉRIEL,Basse
le réseau est tombé,INFRA,Haute
un fou rode autour de la maison ma vie est en danger,POLICE,Moyenne
mon casque a un faux contact,MATÉRIEL,Basse
ma session tourne en boucle,ACCÈS,Moyenne
une centrale nucléaire menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
quelqu'un est entré par effraction.,POLICE,Moyenne
j'ai perdu ma jambe,MÉDICAL,Haute
un batiment fuit du gaz,POMPIER,Haute
ma femme a du sang partout je suis en danger,MÉDICAL,Haute
le datacenter est tombé,INFRA,Haute
mon pc est cassé,MATÉRIEL,Basse
le routeur a une latence énorme,INFRA,Haute
des gens essaie de rentrer de force,POLICE,Moyenne
mon accès me refuse l'accès,ACCÈS,Moyenne
au secours on me tire dessus,POLICE,Haute
une maison à exploser,POMPIER,Haute
un entrepot est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
au secours on me tire dessus,POLICE,Haute
le toit est en feu ma vie est en danger,POMPIER,Haute
un fou est entré par effraction je suis en danger,POLICE,Moyenne
ma femme a perdu un oeil.,MÉDICAL,Haute
quelqu'un a cassé mon bras aidez-moi,MÉDICAL,Moyenne
un fou a un fusil ma vie est en danger,POLICE,Haute
une centrale nucléaire menace de s'écrouler aidez-moi,POMPIER,Moyenne
ma souris est mort,MATÉRIEL,Basse
la webcam clignote sans arrêt,MATÉRIEL,Basse
la fibre est tombé,INFRA,Haute
ma femme a cassé mon bras!,MÉDICAL,Moyenne
le wifi affiche une erreur 500,INFRA,Haute
la base de données est tombé,INFRA,Haute
une usine menace de s'écrouler!,POMPIER,Moyenne
le parking s'est effondré vite,POMPIER,Haute
un individu tire sur la foule!,POLICE,Haute
il y a quelqu'un qui essaie de me tirer dessus,POLICE,Haute
mon écran ne répond plus,MATÉRIEL,Basse
mon compte est bloqué,ACCÈS,Moyenne
un inconnu me frappe au visage!,POLICE,Haute
j'ai du sang,MÉDICAL,Moyenne
une voiture est en feu,POMPIER,Haute
il y a un tueur en série,POLICE,Haute
quelqu'un rode autour de la maison vite,POLICE,Moyenne
la forêt menace de s'écrouler je suis en danger,POMPIER,Moyenne
un voleur rode autour de la maison vite,POLICE,Moyenne
ma souris marche plus,MATÉRIEL,Basse
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
un gars rode autour de la maison!,POLICE,Moyenne
mon ami a perdu un oeil je suis en danger,MÉDICAL,Haute
je saigne du doigt,MÉDICAL,Basse
mon ami a du sang partout je suis en danger,MÉDICAL,Haute
mon login est bloqué,ACCÈS,Moyenne
un voleur veut me poignarder,POLICE,Haute
quelqu'un a une grosse hémorragie.,MÉDICAL,Haute
ma femme a fait un malaise.,MÉDICAL,Haute
un tueur essaie de me tuer je suis en danger,POLICE,Haute
une maison à exploser,POMPIER,Haute
un entrepot vient d'exploser je suis en danger,POMPIER,Haute
mon ex rode autour de la maison je suis en danger,POLICE,Moyenne
le vidéoprojecteur fait un bruit bizarre,MATÉRIEL,Basse
un homme me suit dans la rue vite,POLICE,Moyenne
la base de données a fondu,INFRA,Haute
le réseau a crashé,INFRA,Haute
un voleur a un couteau je suis en danger,POLICE,Haute
j'ai très mal au dos,MÉDICAL,Moyenne
le réseau a fondu,INFRA,Haute
un pont est en train de s'écrouler vite,POMPIER,Moyenne
le vpn est bloqué,ACCÈS,Moyenne
un batiment vient de tomber,POMPIER,Haute
un tueur rode autour de la maison vite,POLICE,Moyenne
mon coeur me fait mal,MÉDICAL,Haute
j'ai cassé mon nez,MÉDICAL,Moyenne
mon fils a très mal au dos ma vie est en danger,MÉDICAL,Moyenne
une centrale nucléaire est en train de s'écrouler!,POMPIER,Moyenne
il y a un braquage,POLICE,Haute
quelqu'un a le crâne ouvert vite,MÉDICAL,Haute
je très mal au coeur,MÉDICAL,Haute
un pont a été soufflé par une explosion vite,POMPIER,Haute
un voleur essaie de rentrer de force,POLICE,Moyenne
mon pc est cassé,MATÉRIEL,Basse
la forêt est en train de s'écrouler,POMPIER,Moyenne
le vpn a été piraté,ACCÈS,Moyenne
j'ai très mal au dos!,MÉDICAL,Moyenne
un inconnu tire sur la foule aidez-moi,POLICE,Haute
un pont a été soufflé par une explosion!,POMPIER,Haute
ma souris a l'écran fissuré,MATÉRIEL,Basse
un voleur est entré par effraction,POLICE,Moyenne
mon téléphone est mort,MATÉRIEL,Basse
un homme me menace avec une arme vite,POLICE,Haute
mon fils a très mal au coeur ma vie est en danger,MÉDICAL,Haute
une usine menace de s'écrouler.,POMPIER,Moyenne
mon compte n'est pas reconnu,ACCÈS,Moyenne
ma femme a très mal au ventre ma vie est en danger,MÉDICAL,Moyenne
la fibre a crashé,INFRA,Haute
un gars a un fusil je suis en danger,POLICE,Haute
le vpn est expiré,ACCÈS,Moyenne
le parking a pris feu!,POMPIER,Haute
un individu rode autour de la maison je suis en danger,POLICE,Moyenne
un fou me frappe au visage ma vie est en danger,POLICE,Haute
le vidéoprojecteur est mort,MATÉRIEL,Basse
je saigne,MÉDICAL,Moyenne
mon collègue a cassé mon bras vite,MÉDICAL,Moyenne
un homme rode autour de la maison je suis en danger,POLICE,Moyenne
je saigne,MÉDICAL,Moyenne
des gens a un fusil vite,POLICE,Haute
un entrepot menace de s'écrouler vite,POMPIER,Moyenne
mon coeur me fait mal,MÉDICAL,Haute
un entrepot vient d'exploser aidez-moi,POMPIER,Haute
un homme tire sur la foule vite,POLICE,Haute
mon pc est mort,MATÉRIEL,Basse
mon écran ne s'allume pas,MATÉRIEL,Basse
mon écran fait un bruit bizarre,MATÉRIEL,Basse
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
le serveur est très lent,INFRA,Haute
mon ex me suit dans la rue!,POLICE,Moyenne
un individu rode autour de la maison ma vie est en danger,POLICE,Moyenne
mon authentification est bloqué,ACCÈS,Moyenne
un fou essaie de rentrer de force.,POLICE,Moyenne
un gars veut me poignarder.,POLICE,Haute
il y a un tueur en série,POLICE,Haute
un entrepot a été soufflé par une explosion je suis en danger,POMPIER,Haute
une maison à exploser,POMPIER,Haute
le vidéoprojecteur marche plus,MATÉRIEL,Basse
ma souris est cassé,MATÉRIEL,Basse
une centrale nucléaire est rempli de fumée.,POMPIER,Haute
mon ami a le crâne ouvert ma vie est en danger,MÉDICAL,Haute
un homme rode autour de la maison vite,POLICE,Moyenne
ma souris a l'écran fissuré,MATÉRIEL,Basse
un fou est entré par effraction,POLICE,Moyenne
quelqu'un essaie de rentrer de force vite,POLICE,Moyenne
mon ex a sorti une arme vite,POLICE,Haute
un individu tire sur la foule,POLICE,Haute
mon téléphone est bloqué,MATÉRIEL,Basse
un inconnu tire sur la foule je suis en danger,POLICE,Haute
il y'a une aggression,POLICE,Haute
un gars rode autour de la maison je suis en danger,POLICE,Moyenne
la forêt vient d'exploser aidez-moi,POMPIER,Haute
un batiment a pris feu vite,POMPIER,Haute
un individu a sorti une arme!,POLICE,Haute
un entrepot menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
un inconnu braque la banque,POLICE,Haute
le datacenter est en panne,INFRA,Haute
j'ai du sang,MÉDICAL,Moyenne
ma souris est cassé,MATÉRIEL,Basse
mon pc est mort,MATÉRIEL,Basse
mon compte est verrouillé,ACCÈS,Moyenne
mon clavier clignote sans arrêt,MATÉRIEL,Basse
une usine menace de s'écrouler.,POMPIER,Moyenne
le serveur a fondu,INFRA,Haute
un voleur est entré par effraction!,POLICE,Moyenne
mon authentification est verrouillé,ACCÈS,Moyenne
mon authentification ne marche plus,ACCÈS,Moyenne
je perdu ma jambe.,MÉDICAL,Haute
un fou m'a tiré dessus aidez-moi,POLICE,Haute
un pont vient d'exploser aidez-moi,POMPIER,Haute
mon pc marche plus,MATÉRIEL,Basse
la fibre a crashé,INFRA,Haute
ma souris marche plus,MATÉRIEL,Basse
un gars me menace avec une arme!,POLICE,Haute
un individu m'a tiré dessus.,POLICE,Haute
un tueur me menace avec une arme vite,POLICE,Haute
un gars essaie de rentrer de force je suis en danger,POLICE,Moyenne
ma session est expiré,ACCÈS,Moyenne
quelqu'un a perdu ma jambe je suis en danger,MÉDICAL,Haute
ma vie est en danger,POLICE,Haute
mon collègue a fait un malaise vite,MÉDICAL,Haute
je très mal au dos je suis en danger,MÉDICAL,Moyenne
quelqu'un a très mal au ventre,MÉDICAL,Moyenne
j'ai le crâne ouvert!,MÉDICAL,Haute
la forêt est en train de s'écrouler!,POMPIER,Moyenne
mon mot de passe affiche une erreur,ACCÈS,Moyenne
un entrepot vient d'exploser je suis en danger,POMPIER,Haute
un immeuble est en train de s'écrouler.,POMPIER,Moyenne
mon téléphone est bloqué,MATÉRIEL,Basse
une central nucléaire vient d'exploser,POMPIER,Haute
une central nucléaire vient d'exploser,POMPIER,Haute
le toit est en train de s'écrouler!,POMPIER,Moyenne
une maison est en train de s'écrouler aidez-moi,POMPIER,Moyenne
mon ex a sorti une arme!,POLICE,Haute
mon compte est bloqué,ACCÈS,Moyenne
un inconnu veut me poignarder vite,POLICE,Haute
mon clavier est bloqué,MATÉRIEL,Basse
mon compte ne marche plus,ACCÈS,Moyenne
mon écran clignote sans arrêt,MATÉRIEL,Basse
un tueur essaie de me tuer je suis en danger,POLICE,Haute
mon fils a perdu ma jambe aidez-moi,MÉDICAL,Haute
mon ami a très mal au coeur vite,MÉDICAL,Haute
un entrepot a pris feu.,POMPIER,Haute
un fou a un fusil ma vie est en danger,POLICE,Haute
ma femme a une grosse hémorragie ma vie est en danger,MÉDICAL,Haute
mon mot de passe est expiré,ACCÈS,Moyenne
mon collègue a très mal au dos.,MÉDICAL,Moyenne
il y a quelqu'un qui tire,POLICE,Haute
mon clavier a l'écran fissuré,MATÉRIEL,Basse
mon compte ne marche plus,ACCÈS,Moyenne
des gens essaie de rentrer de force ma vie est en danger,POLICE,Moyenne
l'imprimante fait un bruit bizarre,MATÉRIEL,Basse
une usine est en train de s'écrouler vite,POMPIER,Moyenne
mon mot de passe n'est pas reconnu,ACCÈS,Moyenne
un tueur est entré par effraction vite,POLICE,Moyenne
je du sang partout aidez-moi,MÉDICAL,Haute
le toit a pris feu aidez-moi,POMPIER,Haute
la base de données affiche une erreur 500,INFRA,Haute
je le bras arraché.,MÉDICAL,Haute
mon ami a le crâne ouvert je suis en danger,MÉDICAL,Haute
mon coeur me fait mal,MÉDICAL,Haute
il y'a une aggression,POLICE,Haute
le routeur est très lent,INFRA,Haute
mon collègue a très mal au dos je suis en danger,MÉDICAL,Moyenne
mon login me refuse l'accès,ACCÈS,Moyenne
l'hyperviseur est tombé,INFRA,Haute
un entrepot fuit du gaz!,POMPIER,Haute
mon login ne marche plus,ACCÈS,Moyenne
mon collègue a le nez cassé.,MÉDICAL,Moyenne
un pont est en train de s'écrouler vite,POMPIER,Moyenne
la base de données a une latence énorme,INFRA,Haute
il y a quelqu'un qui tire,POLICE,Haute
une maison menace de s'écrouler aidez-moi,POMPIER,Moyenne
un entrepot menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
mon login est bloqué,ACCÈS,Moyenne
une centrale nucléaire est en train de s'écrouler vite,POMPIER,Moyenne
la forêt menace de s'écrouler!,POMPIER,Moyenne
il y a quelqu'un qui essaie de me tirer dessus,POLICE,Haute
mon authentification est expiré,ACCÈS,Moyenne
mon ami a très mal au ventre ma vie est en danger,MÉDICAL,Moyenne
l'hyperviseur a une latence énorme,INFRA,Haute
le vidéoprojecteur marche plus,MATÉRIEL,Basse
le vpn tourne en boucle,ACCÈS,Moyenne
ma femme a très mal au ventre,MÉDICAL,Moyenne
un voleur braque la banque je suis en danger,POLICE,Haute
mon ex rode autour de la maison,POLICE,Moyenne
le réseau est en panne,INFRA,Haute
un fou essaie de rentrer de force aidez-moi,POLICE,Moyenne
un individu essaie de me tuer!,POLICE,Haute
des gens tire sur la foule aidez-moi,POLICE,Haute
l'hyperviseur affiche une erreur 500,INFRA,Haute
il y a un braquage,POLICE,Haute
ma femme a très mal au coeur.,MÉDICAL,Haute
le toit a été soufflé par une explosion.,POMPIER,Haute
il y a quelqu'un qui tire,POLICE,Haute
mon collègue a cassé mon bras aidez-moi,MÉDICAL,Moyenne
un fou essaie de rentrer de force.,POLICE,Moyenne
mon pc est mort,MATÉRIEL,Basse
mon compte affiche une erreur,ACCÈS,Moyenne
ma souris ne répond plus,MATÉRIEL,Basse
quelqu'un a perdu ma jambe.,MÉDICAL,Haute
le toit menace de s'écrouler!,POMPIER,Moyenne
je du sang partout!,MÉDICAL,Haute
un individu est entré par effraction.,POLICE,Moyenne
le parking est en feu aidez-moi,POMPIER,Haute
une centrale nucléaire brûle ma vie est en danger,POMPIER,Haute
une centrale nucléaire est en train de s'écrouler!,POMPIER,Moyenne
ma souris ne s'allume pas,MATÉRIEL,Basse
un voleur a un couteau.,POLICE,Haute
une central nucléaire vient d'exploser,POMPIER,Haute
un batiment vient de tomber,POMPIER,Haute
mon collègue a le nez cassé.,MÉDICAL,Moyenne
au secours on me tire dessus,POLICE,Haute
un batiment menace de s'écrouler je suis en danger,POMPIER,Moyenne
il y a quelqu'un qui essaie de me tirer dessus,POLICE,Haute
un batiment vient de tomber,POMPIER,Haute
je perdu ma jambe vite,MÉDICAL,Haute
il y a quelqu'un qui essaie de me tirer dessus,POLICE,Haute
mon authentification ne marche plus,ACCÈS,Moyenne
je très mal au ventre je suis en danger,MÉDICAL,Moyenne
il y a quelqu'un qui essaie de me tirer dessus,POLICE,Haute
une centrale nucléaire fuit du gaz ma vie est en danger,POMPIER,Haute
mon téléphone est cassé,MATÉRIEL,Basse
ma femme a très mal au coeur ma vie est en danger,MÉDICAL,Haute
un batiment vient de tomber,POMPIER,Haute
une usine s'est effondré!,POMPIER,Haute
quelqu'un a une grosse hémorragie je suis en danger,MÉDICAL,Haute
le vpn est bloqué,ACCÈS,Moyenne
j'ai du sang,MÉDICAL,Moyenne
mon coeur me fait mal,MÉDICAL,Haute
un fou rode autour de la maison aidez-moi,POLICE,Moyenne
mon pc est mort,MATÉRIEL,Basse
une central nucléaire vient d'exploser,POMPIER,Haute
un immeuble menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
ma femme a le bras arraché vite,MÉDICAL,Haute
une maison a pris feu vite,POMPIER,Haute
mon ex me suit dans la rue aidez-moi,POLICE,Moyenne
je une grosse hémorragie,MÉDICAL,Haute
ma femme a le nez cassé aidez-moi,MÉDICAL,Moyenne
mon ami a le crâne ouvert,MÉDICAL,Haute
mon écran marche plus,MATÉRIEL,Basse
il y a un braquage,POLICE,Haute
mon cœur me fait mal,MÉDICAL,Haute
mon login a été piraté,ACCÈS,Moyenne
la fibre est tombé,INFRA,Haute
mon mot de passe est expiré,ACCÈS,Moyenne
un tueur me suit dans la rue vite,POLICE,Moyenne
le vpn a été piraté,ACCÈS,Moyenne
un pont a pris feu vite,POMPIER,Haute
mon login est expiré,ACCÈS,Moyenne
quelqu'un a un couteau ma vie est en danger,POLICE,Haute
un voleur me suit dans la rue!,POLICE,Moyenne
je une grosse hémorragie ma vie est en danger,MÉDICAL,Haute
mon accès est bloqué,ACCÈS,Moyenne
au secours on me tire dessus,POLICE,Haute
une central nucléaire vient d'exploser,POMPIER,Haute
la base de données a fondu,INFRA,Haute
une central nucléaire vient d'exploser,POMPIER,Haute
mon mot de passe est bloqué,ACCÈS,Moyenne
mon fils a cassé mon bras ma vie est en danger,MÉDICAL,Moyenne
un entrepot vient d'exploser.,POMPIER,Haute
un inconnu me suit dans la rue,POLICE,Moyenne
mon mot de passe affiche une erreur,ACCÈS,Moyenne
une usine menace de s'écrouler,POMPIER,Moyenne
le routeur a une latence énorme,INFRA,Haute
la base de données est tombé,INFRA,Haute
une maison brûle vite,POMPIER,Haute
des gens m'a tiré dessus.,POLICE,Haute
mon ex m'a tiré dessus,POLICE,Haute
un tueur tire sur la foule je suis en danger,POLICE,Haute
une maison menace de s'écrouler!,POMPIER,Moyenne
le routeur a fondu,INFRA,Haute
il y a un braquage,POLICE,Haute
un gars essaie de rentrer de force vite,POLICE,Moyenne
la forêt s'est effondré!,POMPIER,Haute
mon ami a très mal au dos vite,MÉDICAL,Moyenne
je très mal au dos je suis en danger,MÉDICAL,Moyenne
un gars rode autour de la maison aidez-moi,POLICE,Moyenne
un homme essaie de rentrer de force vite,POLICE,Moyenne
mon ex me suit dans la rue,POLICE,Moyenne
le toit a été soufflé par une explosion.,POMPIER,Haute
le routeur est en panne,INFRA,Haute
ma femme a cassé mon bras aidez-moi,MÉDICAL,Moyenne
le datacenter est tombé,INFRA,Haute
ma femme a perdu ma jambe!,MÉDICAL,Haute
un entrepot est en train de s'écrouler je suis en danger,POMPIER,Moyenne
quelqu'un a très mal au coeur ma vie est en danger,MÉDICAL,Haute
une centrale nucléaire fuit du gaz!,POMPIER,Haute
des gens essaie de rentrer de force!,POLICE,Moyenne
mon téléphone marche plus,MATÉRIEL,Basse
la webcam a l'écran fissuré,MATÉRIEL,Basse
un individu me suit dans la rue!,POLICE,Moyenne
un batiment a pris feu vite,POMPIER,Haute
l'hyperviseur est très lent,INFRA,Haute
une central nucléaire vient d'exploser,POMPIER,Haute
le parking est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
un individu rode autour de la maison ma vie est en danger,POLICE,Moyenne
une usine est en train de s'écrouler aidez-moi,POMPIER,Moyenne
le toit menace de s'écrouler.,POMPIER,Moyenne
un homme veut me poignarder,POLICE,Haute
mon accès n'est pas reconnu,ACCÈS,Moyenne
il y a un tueur en série,POLICE,Haute
la base de données est très lent,INFRA,Haute
mon ami a le crâne ouvert ma vie est en danger,MÉDICAL,Haute
le datacenter a fondu,INFRA,Haute
au secours on me tire dessus,POLICE,Haute
il y a quelqu'un qui tire,POLICE,Haute
un fou est entré par effraction,POLICE,Moyenne
ma souris d'ordinateur est morte,MATÉRIEL,Basse
j'ai du sang,MÉDICAL,Moyenne
mon login a été piraté,ACCÈS,Moyenne
ma femme a perdu un oeil aidez-moi,MÉDICAL,Haute
un immeuble est en train de s'écrouler aidez-moi,POMPIER,Moyenne
je très mal au dos ma vie est en danger,MÉDICAL,Moyenne
mon collègue a le nez cassé.,MÉDICAL,Moyenne
mon clavier a l'écran fissuré,MATÉRIEL,Basse
j'ai perdu ma jambe,MÉDICAL,Haute
mon fils a le nez cassé!,MÉDICAL,Moyenne
ma session me refuse l'accès,ACCÈS,Moyenne
mon fils a du sang partout aidez-moi,MÉDICAL,Haute
mon fils a le nez cassé!,MÉDICAL,Moyenne
un inconnu me frappe au visage ma vie est en danger,POLICE,Haute
mon ex rode autour de la maison,POLICE,Moyenne
mon cœur me fait mal,MÉDICAL,Haute
une centrale nucléaire est rempli de fumée.,POMPIER,Haute
mon ex rode autour de la maison aidez-moi,POLICE,Moyenne
un individu rode autour de la maison je suis en danger,POLICE,Moyenne
mon login affiche une erreur,ACCÈS,Moyenne
un gars m'a tiré dessus ma vie est en danger,POLICE,Haute
un fou me menace avec une arme,POLICE,Haute
un gars a sorti une arme!,POLICE,Haute
un batiment menace de s'écrouler aidez-moi,POMPIER,Moyenne
mon pc clignote sans arrêt,MATÉRIEL,Basse
un homme a un fusil aidez-moi,POLICE,Haute
la webcam a un faux contact,MATÉRIEL,Basse
un pont a pris feu,POMPIER,Haute
ma femme a très mal au dos aidez-moi,MÉDICAL,Moyenne
mon collègue a avalé du poison.,MÉDICAL,Haute
mon compte ne marche plus,ACCÈS,Moyenne
un immeuble a été soufflé par une explosion aidez-moi,POMPIER,Haute
quelqu'un rode autour de la maison vite,POLICE,Moyenne
je perdu ma jambe,MÉDICAL,Haute
mon mot de passe tourne en boucle,ACCÈS,Moyenne
l'hyperviseur est tombé,INFRA,Haute
un fou braque la banque.,POLICE,Haute
la forêt est en train de s'écrouler!,POMPIER,Moyenne
un entrepot fuit du gaz.,POMPIER,Haute
mon téléphone est bloqué,MATÉRIEL,Basse
un immeuble est en train de s'écrouler vite,POMPIER,Moyenne
un entrepot brûle aidez-moi,POMPIER,Haute
un tueur essaie de rentrer de force,POLICE,Moyenne
un individu essaie de rentrer de force,POLICE,Moyenne
ma souris est cassé,MATÉRIEL,Basse
l'imprimante a un faux contact,MATÉRIEL,Basse
mon ami a perdu ma jambe aidez-moi,MÉDICAL,Haute
une central nucléaire vient d'exploser,POMPIER,Haute
un batiment vient de tomber,POMPIER,Haute
un gars est entré par effraction!,POLICE,Moyenne
il y a un gars qui m'a tirer dessus,POLICE,Haute
je saigne,MÉDICAL,Moyenne
il y a du feu chez moi,POMPIER,Haute
un immeuble est en train de s'écrouler vite,POMPIER,Moyenne
une centrale nucléaire est en feu.,POMPIER,Haute
un voleur rode autour de la maison ma vie est en danger,POLICE,Moyenne
mon ami a du mal à respirer vite,MÉDICAL,Haute
quelqu'un me suit dans la rue ma vie est en danger,POLICE,Moyenne
ma femme a du mal à respirer,MÉDICAL,Haute
ma souris d'ordinateur est morte,MATÉRIEL,Basse
mon collègue a très mal au ventre.,MÉDICAL,Moyenne
un fou veut me poignarder vite,POLICE,Haute
un batiment est en train de s'écrouler aidez-moi,POMPIER,Moyenne
ma souris d'ordinateur est morte,MATÉRIEL,Basse
mon pc est mort,MATÉRIEL,Basse
